Ep Train: 0/500, ls: 0.9760140776634216
Ep val: 0/500, ls: 0.6704154014587402
Ep Train: 1/500, ls: 0.5338917970657349
Ep val: 1/500, ls: 0.2467350959777832
Ep Train: 2/500, ls: 0.14379259943962097
Ep val: 2/500, ls: 0.13980381190776825
Ep Train: 3/500, ls: 0.0845121443271637
Ep val: 3/500, ls: 0.09577028453350067
Ep Train: 4/500, ls: 0.047232311218976974
Ep val: 4/500, ls: 0.07357605546712875
Ep Train: 5/500, ls: 0.027485379949212074
Ep val: 5/500, ls: 0.0518154613673687
Ep Train: 6/500, ls: 0.01813606545329094
Ep val: 6/500, ls: 0.04471644386649132
Ep Train: 7/500, ls: 0.014013376086950302
Ep val: 7/500, ls: 0.05218349024653435
Ep Train: 8/500, ls: 0.01189311034977436
Ep val: 8/500, ls: 0.05578671768307686
Ep Train: 9/500, ls: 0.010449964553117752
Ep val: 9/500, ls: 0.057630181312561035
Ep Train: 10/500, ls: 0.009462191723287106
Ep val: 10/500, ls: 0.05995909869670868
Ep Train: 11/500, ls: 0.008742159232497215
Ep val: 11/500, ls: 0.0635523572564125
Ep Train: 12/500, ls: 0.008148260414600372
Ep val: 12/500, ls: 0.0583701990544796
Ep Train: 13/500, ls: 0.0076399329118430614
Ep val: 13/500, ls: 0.05776869133114815
Ep Train: 14/500, ls: 0.007280503865331411
Ep val: 14/500, ls: 0.057482969015836716
Ep Train: 15/500, ls: 0.006914727855473757
Ep val: 15/500, ls: 0.057705435901880264
Ep Train: 16/500, ls: 0.006608252879232168
Ep val: 16/500, ls: 0.05309271439909935
Ep Train: 17/500, ls: 0.006395613308995962
Ep val: 17/500, ls: 0.05300440639257431
Ep Train: 18/500, ls: 0.0061690048314630985
Ep val: 18/500, ls: 0.05053240805864334
Ep Train: 19/500, ls: 0.00600705249235034
Ep val: 19/500, ls: 0.05027689412236214
Ep Train: 20/500, ls: 0.005875896196812391
Ep val: 20/500, ls: 0.049910932779312134
Ep Train: 21/500, ls: 0.005778506863862276
Ep val: 21/500, ls: 0.048102639615535736
Ep Train: 22/500, ls: 0.005664555821567774
Ep val: 22/500, ls: 0.047805797308683395
Ep Train: 23/500, ls: 0.00562299182638526
Ep val: 23/500, ls: 0.04711823910474777
Ep Train: 24/500, ls: 0.005533269140869379
Ep val: 24/500, ls: 0.0465046688914299
Ep Train: 25/500, ls: 0.005468795076012611
Ep val: 25/500, ls: 0.04567234218120575
Ep Train: 26/500, ls: 0.00544881634414196
Ep val: 26/500, ls: 0.047169435769319534
Ep Train: 27/500, ls: 0.005401774775236845
Ep val: 27/500, ls: 0.045229535549879074
Ep Train: 28/500, ls: 0.0053387172520160675
Ep val: 28/500, ls: 0.04578718543052673
Ep Train: 29/500, ls: 0.0053051188588142395
Ep val: 29/500, ls: 0.0450119748711586
Ep Train: 30/500, ls: 0.005269055254757404
Ep val: 30/500, ls: 0.044527191668748856
Ep Train: 31/500, ls: 0.005279481410980225
Ep val: 31/500, ls: 0.045462802052497864
Ep Train: 32/500, ls: 0.005186809692531824
Ep val: 32/500, ls: 0.04392879456281662
Ep Train: 33/500, ls: 0.005180572625249624
Ep val: 33/500, ls: 0.045119237154722214
Ep Train: 34/500, ls: 0.0051871719770133495
Ep val: 34/500, ls: 0.04532181844115257
Ep Train: 35/500, ls: 0.005128118209540844
Ep val: 35/500, ls: 0.04346197471022606
Ep Train: 36/500, ls: 0.005130884237587452
Ep val: 36/500, ls: 0.04468613117933273
Ep Train: 37/500, ls: 0.005120535846799612
Ep val: 37/500, ls: 0.04353582486510277
Ep Train: 38/500, ls: 0.005070053040981293
Ep val: 38/500, ls: 0.043946102261543274
Ep Train: 39/500, ls: 0.005066999234259129
Ep val: 39/500, ls: 0.04415195807814598
Ep Train: 40/500, ls: 0.005073931533843279
Ep val: 40/500, ls: 0.044624511152505875
Ep Train: 41/500, ls: 0.005017557181417942
Ep val: 41/500, ls: 0.043403878808021545
Ep Train: 42/500, ls: 0.005028368439525366
Ep val: 42/500, ls: 0.04346112906932831
Ep Train: 43/500, ls: 0.004990777466446161
Ep val: 43/500, ls: 0.04345378279685974
Ep Train: 44/500, ls: 0.004988512489944696
Ep val: 44/500, ls: 0.04326751083135605
Ep Train: 45/500, ls: 0.00494988402351737
Ep val: 45/500, ls: 0.04343914985656738
Ep Train: 46/500, ls: 0.004962909501045942
Ep val: 46/500, ls: 0.04269501194357872
Ep Train: 47/500, ls: 0.004903534892946482
Ep val: 47/500, ls: 0.04301082715392113
Ep Train: 48/500, ls: 0.0049105314537882805
Ep val: 48/500, ls: 0.04260043799877167
Ep Train: 49/500, ls: 0.004850284196436405
Ep val: 49/500, ls: 0.042866624891757965
Ep Train: 50/500, ls: 0.0048765805549919605
Ep val: 50/500, ls: 0.04140983521938324
Ep Train: 51/500, ls: 0.004802674055099487
Ep val: 51/500, ls: 0.04313022270798683
Ep Train: 52/500, ls: 0.004862738773226738
Ep val: 52/500, ls: 0.0409906767308712
Ep Train: 53/500, ls: 0.004736526869237423
Ep val: 53/500, ls: 0.04494861140847206
Ep Train: 54/500, ls: 0.004867414943873882
Ep val: 54/500, ls: 0.04077916964888573
Ep Train: 55/500, ls: 0.004720610566437244
Ep val: 55/500, ls: 0.04867766797542572
Ep Train: 56/500, ls: 0.004951808135956526
Ep val: 56/500, ls: 0.04294244199991226
Ep Train: 57/500, ls: 0.004805725533515215
Ep val: 57/500, ls: 0.058066628873348236
Ep Train: 58/500, ls: 0.005296762567013502
Ep val: 58/500, ls: 0.05600178614258766
Ep Train: 59/500, ls: 0.005099817179143429
Ep val: 59/500, ls: 0.07080082595348358
Ep Train: 60/500, ls: 0.005939737893640995
Ep val: 60/500, ls: 0.06577438116073608
Ep Train: 61/500, ls: 0.004921718966215849
Ep val: 61/500, ls: 0.0670892596244812
Ep Train: 62/500, ls: 0.005653113592416048
Ep val: 62/500, ls: 0.0512169785797596
Ep Train: 63/500, ls: 0.0044377269223332405
Ep val: 63/500, ls: 0.05116190388798714
Ep Train: 64/500, ls: 0.0048296176828444
Ep val: 64/500, ls: 0.04413726180791855
Ep Train: 65/500, ls: 0.004373177420347929
Ep val: 65/500, ls: 0.04719047620892525
Ep Train: 66/500, ls: 0.004587703384459019
Ep val: 66/500, ls: 0.042708124965429306
Ep Train: 67/500, ls: 0.004385822918266058
Ep val: 67/500, ls: 0.04604228958487511
Ep Train: 68/500, ls: 0.004513893276453018
Ep val: 68/500, ls: 0.04200340807437897
Ep Train: 69/500, ls: 0.0043826415203511715
Ep val: 69/500, ls: 0.045333798974752426
Ep Train: 70/500, ls: 0.004468112252652645
Ep val: 70/500, ls: 0.04129186272621155
Ep Train: 71/500, ls: 0.004370270296931267
Ep val: 71/500, ls: 0.045613668859004974
Ep Train: 72/500, ls: 0.004428948275744915
Ep val: 72/500, ls: 0.04044034332036972
Ep Train: 73/500, ls: 0.004353156313300133
Ep val: 73/500, ls: 0.04703722894191742
Ep Train: 74/500, ls: 0.004412144422531128
