Ep Train: 0/500, ls: 0.5436060428619385
Ep val: 0/500, ls: 0.3970947265625
Ep Train: 1/500, ls: 0.11148837208747864
Ep val: 1/500, ls: 0.32170265913009644
Ep Train: 2/500, ls: 0.06053927168250084
Ep val: 2/500, ls: 0.39994943141937256
Ep Train: 3/500, ls: 0.03884277492761612
Ep val: 3/500, ls: 0.4101465344429016
Ep Train: 4/500, ls: 0.027241772040724754
Ep val: 4/500, ls: 0.40496596693992615
Ep Train: 5/500, ls: 0.020463373512029648
Ep val: 5/500, ls: 0.40381476283073425
Ep Train: 6/500, ls: 0.01650472730398178
Ep val: 6/500, ls: 0.3123987913131714
Ep Train: 7/500, ls: 0.014237510040402412
Ep val: 7/500, ls: 0.25250446796417236
Ep Train: 8/500, ls: 0.012611891143023968
Ep val: 8/500, ls: 0.27154022455215454
Ep Train: 9/500, ls: 0.011332666501402855
Ep val: 9/500, ls: 0.2820228636264801
Ep Train: 10/500, ls: 0.010439851321280003
Ep val: 10/500, ls: 0.26765769720077515
Ep Train: 11/500, ls: 0.00958980992436409
Ep val: 11/500, ls: 0.2622915506362915
Ep Train: 12/500, ls: 0.009175695478916168
Ep val: 12/500, ls: 0.25562000274658203
Ep Train: 13/500, ls: 0.008712456561625004
Ep val: 13/500, ls: 0.21608836948871613
Ep Train: 14/500, ls: 0.008419666439294815
Ep val: 14/500, ls: 0.2109268307685852
Ep Train: 15/500, ls: 0.008245056495070457
Ep val: 15/500, ls: 0.2187148630619049
Ep Train: 16/500, ls: 0.008098826743662357
Ep val: 16/500, ls: 0.2049987018108368
Ep Train: 17/500, ls: 0.007904131896793842
Ep val: 17/500, ls: 0.20801536738872528
Ep Train: 18/500, ls: 0.007839065045118332
Ep val: 18/500, ls: 0.21466869115829468
Ep Train: 19/500, ls: 0.007745855022221804
Ep val: 19/500, ls: 0.1974499672651291
Ep Train: 20/500, ls: 0.007576624397188425
Ep val: 20/500, ls: 0.19167648255825043
Ep Train: 21/500, ls: 0.007561250124126673
Ep val: 21/500, ls: 0.2046722024679184
Ep Train: 22/500, ls: 0.0074203419499099255
Ep val: 22/500, ls: 0.18248403072357178
Ep Train: 23/500, ls: 0.007263625040650368
Ep val: 23/500, ls: 0.1776413768529892
Ep Train: 24/500, ls: 0.007132234983146191
Ep val: 24/500, ls: 0.16821826994419098
Ep Train: 25/500, ls: 0.007028542459011078
Ep val: 25/500, ls: 0.16145922243595123
Ep Train: 26/500, ls: 0.006866671144962311
Ep val: 26/500, ls: 0.1544157713651657
Ep Train: 27/500, ls: 0.006710988935083151
Ep val: 27/500, ls: 0.1424611210823059
Ep Train: 28/500, ls: 0.006590009201318026
Ep val: 28/500, ls: 0.13897506892681122
Ep Train: 29/500, ls: 0.00640846835449338
Ep val: 29/500, ls: 0.1297188401222229
Ep Train: 30/500, ls: 0.006264796480536461
Ep val: 30/500, ls: 0.12090566754341125
Ep Train: 31/500, ls: 0.00612139655277133
Ep val: 31/500, ls: 0.11446449160575867
Ep Train: 32/500, ls: 0.0059891934506595135
Ep val: 32/500, ls: 0.10662858933210373
Ep Train: 33/500, ls: 0.005855865310877562
Ep val: 33/500, ls: 0.10051915794610977
Ep Train: 34/500, ls: 0.005719036795198917
Ep val: 34/500, ls: 0.09464295208454132
Ep Train: 35/500, ls: 0.005639599170535803
Ep val: 35/500, ls: 0.09024020284414291
Ep Train: 36/500, ls: 0.005541669204831123
Ep val: 36/500, ls: 0.08511829376220703
Ep Train: 37/500, ls: 0.005458120722323656
Ep val: 37/500, ls: 0.08048778772354126
Ep Train: 38/500, ls: 0.0053803687915205956
Ep val: 38/500, ls: 0.07910279929637909
Ep Train: 39/500, ls: 0.005293684080243111
Ep val: 39/500, ls: 0.07480397075414658
Ep Train: 40/500, ls: 0.005244737025350332
Ep val: 40/500, ls: 0.07174018770456314
Ep Train: 41/500, ls: 0.005127950571477413
Ep val: 41/500, ls: 0.07219164818525314
Ep Train: 42/500, ls: 0.005093438550829887
Ep val: 42/500, ls: 0.06879923492670059
Ep Train: 43/500, ls: 0.005037972703576088
Ep val: 43/500, ls: 0.06713669002056122
Ep Train: 44/500, ls: 0.004981731064617634
Ep val: 44/500, ls: 0.06536512076854706
Ep Train: 45/500, ls: 0.0049096751026809216
Ep val: 45/500, ls: 0.06541994959115982
Ep Train: 46/500, ls: 0.004881776869297028
Ep val: 46/500, ls: 0.0646878182888031
Ep Train: 47/500, ls: 0.004836229141801596
Ep val: 47/500, ls: 0.06585793197154999
Ep Train: 48/500, ls: 0.0048028333112597466
Ep val: 48/500, ls: 0.0654933974146843
Ep Train: 49/500, ls: 0.004725556820631027
Ep val: 49/500, ls: 0.06576356291770935
